timestamp,underlying,type,strike,expiry,last,bid,ask,volume,oi,iv,delta,gamma,theta,vega
20251212 20:16,AAPL,put,230.0,2025-12-12,0.01,0.0,0.0,100.0,469,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,232.5,2025-12-12,45.13,0.0,0.0,1.0,811.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,232.5,2025-12-12,0.01,0.0,0.0,314.0,469,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,235.0,2025-12-12,42.95,0.0,0.0,67.0,308.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,235.0,2025-12-12,0.01,0.0,0.0,79.0,941,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,240.0,2025-12-12,37.86,0.0,0.0,597.0,1985.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,240.0,2025-12-12,0.01,0.0,0.0,1.0,1129,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,245.0,2025-12-12,33.02,0.0,0.0,23.0,193.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,245.0,2025-12-12,0.01,0.0,0.0,2.0,2907,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,247.5,2025-12-12,29.97,0.0,0.0,9.0,102.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,247.5,2025-12-12,0.01,0.0,0.0,21.0,440,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,250.0,2025-12-12,27.75,0.0,0.0,28.0,1012.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,250.0,2025-12-12,0.01,0.0,0.0,140.0,3873,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,252.5,2025-12-12,25.23,0.0,0.0,2.0,170.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,252.5,2025-12-12,0.01,0.0,0.0,5.0,691,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,255.0,2025-12-12,22.81,0.0,0.0,230.0,1507.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,255.0,2025-12-12,0.01,0.0,0.0,79.0,2293,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,257.5,2025-12-12,20.3,0.0,0.0,9.0,63.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,257.5,2025-12-12,0.02,0.0,0.0,86.0,1866,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,260.0,2025-12-12,17.91,0.0,0.0,263.0,775.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,260.0,2025-12-12,0.01,0.0,0.0,446.0,3845,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,262.5,2025-12-12,15.4,0.0,0.0,9.0,102.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,262.5,2025-12-12,0.03,0.0,0.0,792.0,4291,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,265.0,2025-12-12,12.95,0.0,0.0,90.0,1611.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,265.0,2025-12-12,0.02,0.0,0.0,2386.0,3897,0.2500075,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,267.5,2025-12-12,10.74,0.0,0.0,395.0,1564.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,267.5,2025-12-12,0.03,0.0,0.0,6665.0,6514,0.12500875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,270.0,2025-12-12,8.08,0.0,0.0,2354.0,2502.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,270.0,2025-12-12,0.04,0.0,0.0,20123.0,10244,0.12500875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,272.5,2025-12-12,5.5,0.0,0.0,3946.0,2276.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,272.5,2025-12-12,0.08,0.0,0.0,29432.0,7276,0.12500875,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,275.0,2025-12-12,3.43,0.0,0.0,28961.0,6211.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,275.0,2025-12-12,0.26,0.0,0.0,47372.0,7803,0.062509375,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,277.5,2025-12-12,1.51,0.0,0.0,48438.0,11385.0,1.0000000000000003e-05,0.0,0.0,0.0,0.0
